task,entity_type,layer,metric,value,notes
task2,LOC,layer_5,f1_ablated,0.30769230769230765,ablation
task2,LOC,layer_5,f1_delta,0.005805515239477477,ablation
task2,MISC,layer_5,f1_ablated,0.5882352941176471,ablation
task2,MISC,layer_5,f1_delta,0.0,ablation
task2,PER,layer_5,f1_ablated,0.36842105263157887,ablation
task2,PER,layer_5,f1_delta,0.1086807928913191,ablation
task2,ALL,layer_6,f1_ablated,0.18930041152263374,ablation
task2,ALL,layer_6,f1_delta,-0.09758483437900559,ablation
task2,ORG,layer_6,f1_ablated,0.12121212121212122,ablation
task2,ORG,layer_6,f1_delta,-0.1262105592002499,ablation
task2,LOC,layer_6,f1_ablated,0.3137254901960785,ablation
task2,LOC,layer_6,f1_delta,0.011838697743248305,ablation
task2,MISC,layer_6,f1_ablated,0.35294117647058826,ablation
task2,MISC,layer_6,f1_delta,-0.23529411764705882,ablation
task2,PER,layer_6,f1_ablated,0.15789473684210525,ablation
task2,PER,layer_6,f1_delta,-0.10184552289815452,ablation
task2,ALL,layer_7,f1_ablated,0.2809917355371901,ablation
task2,ALL,layer_7,f1_delta,-0.005893510364449239,ablation
task2,ORG,layer_7,f1_ablated,0.22448979591836735,ablation
task2,ORG,layer_7,f1_delta,-0.02293288449400377,ablation
task2,LOC,layer_7,f1_ablated,0.27999999999999997,ablation
task2,LOC,layer_7,f1_delta,-0.021886792452830206,ablation
task2,MISC,layer_7,f1_ablated,0.5882352941176471,ablation
task2,MISC,layer_7,f1_delta,0.0,ablation
task2,PER,layer_7,f1_ablated,0.28571428571428575,ablation
task2,PER,layer_7,f1_delta,0.025974025974025983,ablation
task2,ALL,layer_8,f1_ablated,0.2880658436213992,ablation
task2,ALL,layer_8,f1_delta,0.0011805977197598683,ablation
task2,ORG,layer_8,f1_ablated,0.29787234042553196,ablation
task2,ORG,layer_8,f1_delta,0.05044966001316084,ablation
task2,LOC,layer_8,f1_ablated,0.2545454545454545,ablation
task2,LOC,layer_8,f1_delta,-0.04734133790737566,ablation
task2,MISC,layer_8,f1_ablated,0.47058823529411764,ablation
task2,MISC,layer_8,f1_delta,-0.11764705882352944,ablation
task2,PER,layer_8,f1_ablated,0.25974025974025977,ablation
task2,PER,layer_8,f1_delta,0.0,ablation
task2,ALL,layer_9,f1_ablated,0.2377049180327869,ablation
task2,ALL,layer_9,f1_delta,-0.04918032786885243,ablation
task2,ORG,layer_9,f1_ablated,0.24742268041237112,ablation
task2,ORG,layer_9,f1_delta,0.0,ablation
task2,LOC,layer_9,f1_ablated,0.3018867924528302,ablation
task2,LOC,layer_9,f1_delta,0.0,ablation
task2,MISC,layer_9,f1_ablated,0.375,ablation
task2,MISC,layer_9,f1_delta,-0.21323529411764708,ablation
task2,PER,layer_9,f1_ablated,0.15384615384615385,ablation
task2,PER,layer_9,f1_delta,-0.10589410589410592,ablation
task2,ALL,layer_10,f1_ablated,0.22950819672131145,ablation
task2,ALL,layer_10,f1_delta,-0.05737704918032788,ablation
task2,ORG,layer_10,f1_ablated,0.18556701030927836,ablation
task2,ORG,layer_10,f1_delta,-0.06185567010309276,ablation
task2,LOC,layer_10,f1_ablated,0.33962264150943394,ablation
task2,LOC,layer_10,f1_delta,0.037735849056603765,ablation
task2,MISC,layer_10,f1_ablated,0.47058823529411764,ablation
task2,MISC,layer_10,f1_delta,-0.11764705882352944,ablation
task2,PER,layer_10,f1_ablated,0.15584415584415584,ablation
task2,PER,layer_10,f1_delta,-0.10389610389610393,ablation
task2,ALL,layer_11,f1_ablated,0.14166666666666666,ablation
task2,ALL,layer_11,f1_delta,-0.14521857923497267,ablation
task2,ORG,layer_11,f1_ablated,0.12371134020618556,ablation
task2,ORG,layer_11,f1_delta,-0.12371134020618556,ablation
task2,LOC,layer_11,f1_ablated,0.23529411764705882,ablation
task2,LOC,layer_11,f1_delta,-0.06659267480577136,ablation
task2,MISC,layer_11,f1_ablated,0.42857142857142855,ablation
task2,MISC,layer_11,f1_delta,-0.15966386554621853,ablation
task2,PER,layer_11,f1_ablated,0.05128205128205128,ablation
task2,PER,layer_11,f1_delta,-0.2084582084582085,ablation
task2,ALL,layer_12,f1_ablated,0.15637860082304528,ablation
task2,ALL,layer_12,f1_delta,-0.13050664507859405,ablation
task2,ORG,layer_12,f1_ablated,0.10309278350515465,ablation
task2,ORG,layer_12,f1_delta,-0.14432989690721648,ablation
task2,LOC,layer_12,f1_ablated,0.2692307692307692,ablation
task2,LOC,layer_12,f1_delta,-0.03265602322206096,ablation
task2,MISC,layer_12,f1_ablated,0.47058823529411764,ablation
task2,MISC,layer_12,f1_delta,-0.11764705882352944,ablation
task2,PER,layer_12,f1_ablated,0.07792207792207792,ablation
task2,PER,layer_12,f1_delta,-0.18181818181818185,ablation
task2,ALL,layer_13,f1_ablated,0.30327868852459017,ablation
task2,ALL,layer_13,f1_delta,0.016393442622950838,ablation
task2,ORG,layer_13,f1_ablated,0.32,ablation
task2,ORG,layer_13,f1_delta,0.07257731958762889,ablation
task2,LOC,layer_13,f1_ablated,0.34615384615384615,ablation
task2,LOC,layer_13,f1_delta,0.04426705370101597,ablation
task2,MISC,layer_13,f1_ablated,0.5714285714285715,ablation
task2,MISC,layer_13,f1_delta,-0.01680672268907557,ablation
task2,PER,layer_13,f1_ablated,0.20512820512820512,ablation
task2,PER,layer_13,f1_delta,-0.05461205461205465,ablation
task2,ALL,layer_14,f1_ablated,0.26229508196721313,ablation
task2,ALL,layer_14,f1_delta,-0.0245901639344262,ablation
task2,ORG,layer_14,f1_ablated,0.24742268041237112,ablation
task2,ORG,layer_14,f1_delta,0.0,ablation
task2,LOC,layer_14,f1_ablated,0.3018867924528302,ablation
task2,LOC,layer_14,f1_delta,0.0,ablation
task2,MISC,layer_14,f1_ablated,0.47058823529411764,ablation
task2,MISC,layer_14,f1_delta,-0.11764705882352944,ablation
task2,PER,layer_14,f1_ablated,0.2077922077922078,ablation
task2,PER,layer_14,f1_delta,-0.051948051948051965,ablation
task2,ALL,layer_15,f1_ablated,0.27049180327868855,ablation
task2,ALL,layer_15,f1_delta,-0.016393442622950782,ablation
task2,ORG,layer_15,f1_ablated,0.2268041237113402,ablation
task2,ORG,layer_15,f1_delta,-0.02061855670103091,ablation
task2,LOC,layer_15,f1_ablated,0.3018867924528302,ablation
task2,LOC,layer_15,f1_delta,0.0,ablation
task2,MISC,layer_15,f1_ablated,0.5882352941176471,ablation
task2,MISC,layer_15,f1_delta,0.0,ablation
task2,PER,layer_15,f1_ablated,0.23376623376623376,ablation
task2,PER,layer_15,f1_delta,-0.02597402597402601,ablation
task2,ALL,layer_16,f1_ablated,0.2139917695473251,ablation
task2,ALL,layer_16,f1_delta,-0.07289347635431423,ablation
task2,ORG,layer_16,f1_ablated,0.22448979591836735,ablation
task2,ORG,layer_16,f1_delta,-0.02293288449400377,ablation
task2,LOC,layer_16,f1_ablated,0.2641509433962264,ablation
task2,LOC,layer_16,f1_delta,-0.037735849056603765,ablation
task2,MISC,layer_16,f1_ablated,0.5333333333333333,ablation
task2,MISC,layer_16,f1_delta,-0.05490196078431375,ablation
task2,PER,layer_16,f1_ablated,0.1038961038961039,ablation
task2,PER,layer_16,f1_delta,-0.15584415584415587,ablation
task2,ALL,layer_17,f1_ablated,0.26337448559670784,ablation
task2,ALL,layer_17,f1_delta,-0.02351076030493149,ablation
task2,ORG,layer_17,f1_ablated,0.27999999999999997,ablation
task2,ORG,layer_17,f1_delta,0.032577319587628856,ablation
task2,LOC,layer_17,f1_ablated,0.27450980392156865,ablation
task2,LOC,layer_17,f1_delta,-0.027376988531261526,ablation
task2,MISC,layer_17,f1_ablated,0.75,ablation
task2,MISC,layer_17,f1_delta,0.16176470588235292,ablation
task2,PER,layer_17,f1_ablated,0.13157894736842105,ablation
task2,PER,layer_17,f1_delta,-0.12816131237183873,ablation
task2,ALL,layer_18,f1_ablated,0.2880658436213992,ablation
task2,ALL,layer_18,f1_delta,0.0011805977197598683,ablation
task2,ORG,layer_18,f1_ablated,0.24742268041237112,ablation
task2,ORG,layer_18,f1_delta,0.0,ablation
task2,LOC,layer_18,f1_ablated,0.2641509433962264,ablation
task2,LOC,layer_18,f1_delta,-0.037735849056603765,ablation
task2,MISC,layer_18,f1_ablated,0.5,ablation
task2,MISC,layer_18,f1_delta,-0.08823529411764708,ablation
task2,PER,layer_18,f1_ablated,0.3116883116883117,ablation
task2,PER,layer_18,f1_delta,0.05194805194805191,ablation
task2,ALL,layer_19,f1_ablated,0.2530612244897959,ablation
task2,ALL,layer_19,f1_delta,-0.03382402141184343,ablation
task2,ORG,layer_19,f1_ablated,0.22222222222222224,ablation
task2,ORG,layer_19,f1_delta,-0.025200458190148878,ablation
task2,LOC,layer_19,f1_ablated,0.27450980392156865,ablation
task2,LOC,layer_19,f1_delta,-0.027376988531261526,ablation
task2,MISC,layer_19,f1_ablated,0.47058823529411764,ablation
task2,MISC,layer_19,f1_delta,-0.11764705882352944,ablation
task2,PER,layer_19,f1_ablated,0.23076923076923078,ablation
task2,PER,layer_19,f1_delta,-0.02897102897102899,ablation
task2,ALL,layer_20,f1_ablated,0.18032786885245902,ablation
task2,ALL,layer_20,f1_delta,-0.10655737704918031,ablation
task2,ORG,layer_20,f1_ablated,0.15053763440860216,ablation
task2,ORG,layer_20,f1_delta,-0.09688504600376896,ablation
task2,LOC,layer_20,f1_ablated,0.26666666666666666,ablation
task2,LOC,layer_20,f1_delta,-0.035220125786163514,ablation
task2,MISC,layer_20,f1_ablated,0.0,ablation
task2,MISC,layer_20,f1_delta,-0.5882352941176471,ablation
task2,PER,layer_20,f1_ablated,0.17721518987341775,ablation
task2,PER,layer_20,f1_delta,-0.08252506986684202,ablation
task2,ALL,layer_21,f1_ablated,0.2950819672131148,ablation
task2,ALL,layer_21,f1_delta,0.008196721311475474,ablation
task2,ORG,layer_21,f1_ablated,0.2553191489361702,ablation
task2,ORG,layer_21,f1_delta,0.007896468523799077,ablation
task2,LOC,layer_21,f1_ablated,0.36363636363636365,ablation
task2,LOC,layer_21,f1_delta,0.06174957118353347,ablation
task2,MISC,layer_21,f1_ablated,0.5555555555555556,ablation
task2,MISC,layer_21,f1_delta,-0.0326797385620915,ablation
task2,PER,layer_21,f1_ablated,0.23376623376623376,ablation
task2,PER,layer_21,f1_delta,-0.02597402597402601,ablation
task2,ALL,layer_22,f1_ablated,0.20491803278688525,ablation
task2,ALL,layer_22,f1_delta,-0.08196721311475408,ablation
task2,ORG,layer_22,f1_ablated,0.1568627450980392,ablation
task2,ORG,layer_22,f1_delta,-0.0905599353143319,ablation
task2,LOC,layer_22,f1_ablated,0.27999999999999997,ablation
task2,LOC,layer_22,f1_delta,-0.021886792452830206,ablation
task2,MISC,layer_22,f1_ablated,0.375,ablation
task2,MISC,layer_22,f1_delta,-0.21323529411764708,ablation
task2,PER,layer_22,f1_ablated,0.18421052631578944,ablation
task2,PER,layer_22,f1_delta,-0.07552973342447034,ablation
task2,ALL,layer_23,f1_ablated,0.23045267489711932,ablation
task2,ALL,layer_23,f1_delta,-0.05643257100452001,ablation
task2,ORG,layer_23,f1_ablated,0.2040816326530612,ablation
task2,ORG,layer_23,f1_delta,-0.043341047759309914,ablation
task2,LOC,layer_23,f1_ablated,0.2692307692307692,ablation
task2,LOC,layer_23,f1_delta,-0.03265602322206096,ablation
task2,MISC,layer_23,f1_ablated,0.5333333333333333,ablation
task2,MISC,layer_23,f1_delta,-0.05490196078431375,ablation
task2,PER,layer_23,f1_ablated,0.1794871794871795,ablation
task2,PER,layer_23,f1_delta,-0.08025308025308028,ablation
task2,ALL,layer_24,f1_ablated,0.2880658436213992,ablation
task2,ALL,layer_24,f1_delta,0.0011805977197598683,ablation
task2,ORG,layer_24,f1_ablated,0.23404255319148937,ablation
task2,ORG,layer_24,f1_delta,-0.013380127220881749,ablation
task2,LOC,layer_24,f1_ablated,0.32727272727272727,ablation
task2,LOC,layer_24,f1_delta,0.025385934819897094,ablation
task2,MISC,layer_24,f1_ablated,0.47058823529411764,ablation
task2,MISC,layer_24,f1_delta,-0.11764705882352944,ablation
task2,PER,layer_24,f1_ablated,0.28571428571428575,ablation
task2,PER,layer_24,f1_delta,0.025974025974025983,ablation
task2,ALL,layer_25,f1_ablated,0.2950819672131148,ablation
task2,ALL,layer_25,f1_delta,0.008196721311475474,ablation
task2,ORG,layer_25,f1_ablated,0.22222222222222224,ablation
task2,ORG,layer_25,f1_delta,-0.025200458190148878,ablation
task2,LOC,layer_25,f1_ablated,0.27450980392156865,ablation
task2,LOC,layer_25,f1_delta,-0.027376988531261526,ablation
task2,MISC,layer_25,f1_ablated,0.35294117647058826,ablation
task2,MISC,layer_25,f1_delta,-0.23529411764705882,ablation
task2,PER,layer_25,f1_ablated,0.3896103896103896,ablation
task2,PER,layer_25,f1_delta,0.1298701298701298,ablation
task2,ALL,layer_26,f1_ablated,0.27049180327868855,ablation
task2,ALL,layer_26,f1_delta,-0.016393442622950782,ablation
task2,ORG,layer_26,f1_ablated,0.20202020202020202,ablation
task2,ORG,layer_26,f1_delta,-0.0454024783921691,ablation
task2,LOC,layer_26,f1_ablated,0.27450980392156865,ablation
task2,LOC,layer_26,f1_delta,-0.027376988531261526,ablation
task2,MISC,layer_26,f1_ablated,0.5882352941176471,ablation
task2,MISC,layer_26,f1_delta,0.0,ablation
task2,PER,layer_26,f1_ablated,0.28571428571428575,ablation
task2,PER,layer_26,f1_delta,0.025974025974025983,ablation
task2,ALL,layer_27,f1_ablated,0.2880658436213992,ablation
task2,ALL,layer_27,f1_delta,0.0011805977197598683,ablation
task2,ORG,layer_27,f1_ablated,0.24242424242424243,ablation
task2,ORG,layer_27,f1_delta,-0.0049984379881286845,ablation
task2,LOC,layer_27,f1_ablated,0.31999999999999995,ablation
task2,LOC,layer_27,f1_delta,0.018113207547169774,ablation
task2,MISC,layer_27,f1_ablated,0.47058823529411764,ablation
task2,MISC,layer_27,f1_delta,-0.11764705882352944,ablation
task2,PER,layer_27,f1_ablated,0.28571428571428575,ablation
task2,PER,layer_27,f1_delta,0.025974025974025983,ablation
